11|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7196|2019022204|22/02/2019|15:34|22/02/2019|21:06|PPA1|24|CD16|02|||||||||||||PPA1-24|722F-P-P1|22/02/2019|21:06|23/02/2019|04:56||4|86140-0K200-00|RECEIVER ASSY  RADIO & DISPLAY|H712|SA.R -  13|4|8|2||F|22/02/2019|15:34|22/02/2019|09:39|22/02/2019|09:39||22/02/2019|07:30|2202||F1||
12|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7196|2019022204|22/02/2019|15:34|22/02/2019|21:06|PPA1|24|CD16|02|||||||||||||PPA1-24|722F-P-P1|22/02/2019|21:06|23/02/2019|04:56||5|86140-0K620-00|RECEIVER ASSY  RADIO & DISPLAY|H714|SA.R -  13|4|8|2||F|22/02/2019|15:34|22/02/2019|09:39|22/02/2019|09:39||22/02/2019|07:30|2202||F1||
13|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7196|2019022204|22/02/2019|15:34|22/02/2019|21:06|PPA1|24|CD16|02|||||||||||||PPA1-24|722F-P-P1|22/02/2019|21:06|23/02/2019|04:56||6|86140-0KB70-00|RECEIVER ASSY  RADIO & DISPLAY|U315|SA.R -  13|4|8|2||F|22/02/2019|15:34|22/02/2019|09:39|22/02/2019|09:39||22/02/2019|07:30|2202||F1||
14|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7196|2019022204|22/02/2019|15:34|22/02/2019|21:06|PPA1|24|CD16|02|||||||||||||PPA1-24|722F-P-P1|22/02/2019|21:06|23/02/2019|04:56||7|86100-0K102-00|RECEIVER ASSY  RADIO & NAVIGATION|B035|SA.R -  14|4|4|1||F|22/02/2019|15:34|22/02/2019|09:39|22/02/2019|09:39||22/02/2019|07:30|2202||F1||
15|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7196|2019022204|22/02/2019|15:34|22/02/2019|21:06|PPA1|24|CD16|02|||||||||||||PPA1-24|722F-P-P1|22/02/2019|21:06|23/02/2019|04:56||8|86100-0K214-00|RECEIVER ASSY  RADIO & NAVIGATION|B037|SA.R -  14|4|4|1||F|22/02/2019|15:34|22/02/2019|09:39|22/02/2019|09:39||22/02/2019|07:30|2202||F1||
16|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7196|2019022204|22/02/2019|15:34|22/02/2019|21:06|PPA1|24|CD16|02|||||||||||||PPA1-24|722F-P-P1|22/02/2019|21:06|23/02/2019|04:56||9|86120-0KA42-00|RECEIVER ASSY  RADIO|V883|SA.R -  14|4|4|1||F|22/02/2019|15:34|22/02/2019|09:39|22/02/2019|09:39||22/02/2019|07:30|2202||F1||
17|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7196|2019022204|22/02/2019|15:34|22/02/2019|21:06|PPA1|24|CD16|02|||||||||||||PPA1-24|722F-P-P1|22/02/2019|21:06|23/02/2019|04:56||10|86120-0KC40-00|RECEIVER ASSY  RADIO|H561|SA.R -  14|4|4|1||F|22/02/2019|15:34|22/02/2019|09:39|22/02/2019|09:39||22/02/2019|07:30|2202|2|F1||
18|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B7837|2019022207|22/02/2019|15:08|22/02/2019|20:35|PSA|19|PD02|03|||||||||||||PSA-19|722B-S-S1|22/02/2019|20:35|23/02/2019|00:30||1|86120-0KA00-00|RECEIVER ASSY RADIO|A792|IP1  - A07|4|40|10||F|22/02/2019|15:08|22/02/2019|10:58|22/02/2019|10:58||22/02/2019|07:30|2202||||
19|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B7837|2019022207|22/02/2019|15:08|22/02/2019|20:35|PSA|19|PD02|03|||||||||||||PSA-19|722B-S-S1|22/02/2019|20:35|23/02/2019|00:30||2|86120-0KA20-00|RECEIVER ASSY RADIO|A794|IP1  - A07|4|4|1||F|22/02/2019|15:08|22/02/2019|10:58|22/02/2019|10:58||22/02/2019|07:30|2202||||
20|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B7837|2019022207|22/02/2019|15:08|22/02/2019|20:35|PSA|19|PD02|03|||||||||||||PSA-19|722B-S-S1|22/02/2019|20:35|23/02/2019|00:30||3|86140-0K200-00|RECEIVER ASSY RADIO & DISPLAY|A798|IP1  - A07|4|8|2||F|22/02/2019|15:08|22/02/2019|10:58|22/02/2019|10:58||22/02/2019|07:30|2202||||
21|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B7837|2019022207|22/02/2019|15:08|22/02/2019|20:35|PSA|19|PD02|03|||||||||||||PSA-19|722B-S-S1|22/02/2019|20:35|23/02/2019|00:30||4|86140-0K570-00|RECEIVER ASSY RADIO & DISPLAY|A799|IP1  - A07|4|8|2||F|22/02/2019|15:08|22/02/2019|10:58|22/02/2019|10:58||22/02/2019|07:30|2202||||
22|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B7837|2019022207|22/02/2019|15:08|22/02/2019|20:35|PSA|19|PD02|03|||||||||||||PSA-19|722B-S-S1|22/02/2019|20:35|23/02/2019|00:30||5|86100-0K144-00|RECEIVER ASSY RADIO & NAVIGATION|F154|IP1  - A08|4|12|3||F|22/02/2019|15:08|22/02/2019|10:58|22/02/2019|10:58||22/02/2019|07:30|2202||||
23|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B7838|2019022208|22/02/2019|15:08|22/02/2019|20:35|PSA|22|PD02|03|||||||||||||PSA-22|722B-S-S1|22/02/2019|20:35|23/02/2019|02:25||1|86120-0KA00-00|RECEIVER ASSY RADIO|A792|IP1  - A07|4|20|5||F|22/02/2019|15:08|22/02/2019|10:58|22/02/2019|10:58||22/02/2019|07:30|2202||||
24|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B7838|2019022208|22/02/2019|15:08|22/02/2019|20:35|PSA|22|PD02|03|||||||||||||PSA-22|722B-S-S1|22/02/2019|20:35|23/02/2019|02:25||2|86140-0K200-00|RECEIVER ASSY RADIO & DISPLAY|A798|IP1  - A07|4|12|3||F|22/02/2019|15:08|22/02/2019|10:58|22/02/2019|10:58||22/02/2019|07:30|2202||||
25|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B7838|2019022208|22/02/2019|15:08|22/02/2019|20:35|PSA|22|PD02|03|||||||||||||PSA-22|722B-S-S1|22/02/2019|20:35|23/02/2019|02:25||3|86140-0K570-00|RECEIVER ASSY RADIO & DISPLAY|A799|IP1  - A07|4|4|1||F|22/02/2019|15:08|22/02/2019|10:58|22/02/2019|10:58||22/02/2019|07:30|2202||||
26|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B7838|2019022208|22/02/2019|15:08|22/02/2019|20:35|PSA|22|PD02|03|||||||||||||PSA-22|722B-S-S1|22/02/2019|20:35|23/02/2019|02:25||4|86100-0K144-00|RECEIVER ASSY RADIO & NAVIGATION|F154|IP1  - A08|4|12|3||F|22/02/2019|15:08|22/02/2019|10:58|22/02/2019|10:58||22/02/2019|07:30|2202||||
27|FTTL|A|DENSO TEN (THAILAND) Limited.|C|GATEWAY#2|C2|1|1C FTTLAC2A0876|2019022501|22/02/2019|20:45|23/02/2019|04:04|PK2|06|KD02|02|||||||||||||PK2-06|722C-C-C2|23/02/2019|04:04|25/02/2019|10:51||1|89040-06010-00|SIREN ASSY  THEFT WARNING|4K09|LI   -  09|16|16|1||B|22/02/2019|20:45|22/02/2019|15:52|22/02/2019|15:52||22/02/2019|07:30|2502||||
28|FTTL|A|DENSO TEN (THAILAND) Limited.|C|GATEWAY#2|C5|1|1C FTTLAC5A0573|2019022501|25/02/2019|20:45|26/02/2019|04:04|KD02|02|KD02|02|||||||||||||||||26/02/2019|04:04||1|86100-02242-00|RECEIVER ASSY  RADIO & NAVIGATION|T616|LQ   -  04|3|6|2|||25/02/2019|20:45|25/02/2019|15:52|25/02/2019|15:52||25/02/2019|07:30|2502||||
29|FTTL|A|DENSO TEN (THAILAND) Limited.|C|GATEWAY#2|C5|1|1C FTTLAC5A0573|2019022501|25/02/2019|20:45|26/02/2019|04:04|KD02|02|KD02|02|||||||||||||||||26/02/2019|04:04||2|86140-02550-00|RECEIVER ASSY  RADIO & DISPLAY|T502|LQ   -  04|3|30|10|||25/02/2019|20:45|25/02/2019|15:52|25/02/2019|15:52||25/02/2019|07:30|2502||||
30|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7197|2019022501|23/02/2019|03:26|25/02/2019|09:06|PPA1|06|CD16|01|||||||||||||PPA1-06|722F-P-P1|25/02/2019|09:06|25/02/2019|11:16||1|86100-0K144-00|RECEIVER ASSY  RADIO & NAVIGATION|B036|SA.R -  12|4|4|1||F|23/02/2019|03:26|22/02/2019|18:04|22/02/2019|18:04||22/02/2019|07:30|2502||F1||
31|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7197|2019022501|23/02/2019|03:26|25/02/2019|09:06|PPA1|06|CD16|01|||||||||||||PPA1-06|722F-P-P1|25/02/2019|09:06|25/02/2019|11:16||2|86120-0KA00-00|RECEIVER ASSY  RADIO|H550|SA.R -  12|4|20|5||F|23/02/2019|03:26|22/02/2019|18:04|22/02/2019|18:04||22/02/2019|07:30|2502||F1||
32|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7197|2019022501|23/02/2019|03:26|25/02/2019|09:06|PPA1|06|CD16|01|||||||||||||PPA1-06|722F-P-P1|25/02/2019|09:06|25/02/2019|11:16||3|86120-0KA20-00|RECEIVER ASSY  RADIO|H556|SA.R -  12|4|4|1||F|23/02/2019|03:26|22/02/2019|18:04|22/02/2019|18:04||22/02/2019|07:30|2502||F1||
33|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7197|2019022501|23/02/2019|03:26|25/02/2019|09:06|PPA1|06|CD16|01|||||||||||||PPA1-06|722F-P-P1|25/02/2019|09:06|25/02/2019|11:16||4|86140-0KA70-00|RECEIVER ASSY  RADIO & DISPLAY|H704|SA.R -  12|4|4|1||F|23/02/2019|03:26|22/02/2019|18:04|22/02/2019|18:04||22/02/2019|07:30|2502||F1||
34|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7197|2019022501|23/02/2019|03:26|25/02/2019|09:06|PPA1|06|CD16|01|||||||||||||PPA1-06|722F-P-P1|25/02/2019|09:06|25/02/2019|11:16||5|86140-0K620-00|RECEIVER ASSY  RADIO & DISPLAY|H714|SA.R -  13|4|8|2||F|23/02/2019|03:26|22/02/2019|18:04|22/02/2019|18:04||22/02/2019|07:30|2502||F1||
35|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7197|2019022501|23/02/2019|03:26|25/02/2019|09:06|PPA1|06|CD16|01|||||||||||||PPA1-06|722F-P-P1|25/02/2019|09:06|25/02/2019|11:16||6|86140-0KB70-00|RECEIVER ASSY  RADIO & DISPLAY|U315|SA.R -  13|4|4|1||F|23/02/2019|03:26|22/02/2019|18:04|22/02/2019|18:04||22/02/2019|07:30|2502||F1||
36|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7197|2019022501|23/02/2019|03:26|25/02/2019|09:06|PPA1|06|CD16|01|||||||||||||PPA1-06|722F-P-P1|25/02/2019|09:06|25/02/2019|11:16||7|86100-0K214-00|RECEIVER ASSY  RADIO & NAVIGATION|B037|SA.R -  14|4|4|1||F|23/02/2019|03:26|22/02/2019|18:04|22/02/2019|18:04||22/02/2019|07:30|2502||F1||
37|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7199|2019022501|22/02/2019|15:34|22/02/2019|21:06|PPA1|11|CD16|02|||||||||||||PPA1-11|722F-P-P1|22/02/2019|21:06|25/02/2019|16:03||1|89040-0K030-00|SIREN ASSY  THEFT WARNING|U365|SW.R -  10|16|32|2||H|22/02/2019|15:34|22/02/2019|09:39|22/02/2019|09:39||22/02/2019|07:30|2502||MX||
38|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B7839|2019022501|22/02/2019|15:08|22/02/2019|20:35|PSA|01|PD02|03|||||||||||||PSA-01|722B-S-S1|22/02/2019|20:35|25/02/2019|07:30||1|86120-0KA00-00|RECEIVER ASSY RADIO|A792|IP1  - A07|4|36|9||F|22/02/2019|15:08|22/02/2019|10:58|22/02/2019|10:58||22/02/2019|07:30|2502||||
39|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B7839|2019022501|22/02/2019|15:08|22/02/2019|20:35|PSA|01|PD02|03|||||||||||||PSA-01|722B-S-S1|22/02/2019|20:35|25/02/2019|07:30||2|86120-0KA20-00|RECEIVER ASSY RADIO|A794|IP1  - A07|4|4|1||F|22/02/2019|15:08|22/02/2019|10:58|22/02/2019|10:58||22/02/2019|07:30|2502||||
40|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B7839|2019022501|22/02/2019|15:08|22/02/2019|20:35|PSA|01|PD02|03|||||||||||||PSA-01|722B-S-S1|22/02/2019|20:35|25/02/2019|07:30||3|86140-0K200-00|RECEIVER ASSY RADIO & DISPLAY|A798|IP1  - A07|4|12|3||F|22/02/2019|15:08|22/02/2019|10:58|22/02/2019|10:58||22/02/2019|07:30|2502||||
41|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B7839|2019022501|22/02/2019|15:08|22/02/2019|20:35|PSA|01|PD02|03|||||||||||||PSA-01|722B-S-S1|22/02/2019|20:35|25/02/2019|07:30||4|86140-0K570-00|RECEIVER ASSY RADIO & DISPLAY|A799|IP1  - A07|4|8|2||F|22/02/2019|15:08|22/02/2019|10:58|22/02/2019|10:58||22/02/2019|07:30|2502||||
42|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B7839|2019022501|22/02/2019|15:08|22/02/2019|20:35|PSA|01|PD02|03|||||||||||||PSA-01|722B-S-S1|22/02/2019|20:35|25/02/2019|07:30||5|86100-0K144-00|RECEIVER ASSY RADIO & NAVIGATION|F154|IP1  - A08|4|12|3||F|22/02/2019|15:08|22/02/2019|10:58|22/02/2019|10:58||22/02/2019|07:30|2502||||
43|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7198|2019022502|23/02/2019|03:26|25/02/2019|09:06|PPA1|12|CD16|01|||||||||||||PPA1-12|722F-P-P1|25/02/2019|09:06|25/02/2019|16:56||1|86120-0KA00-00|RECEIVER ASSY  RADIO|H550|SA.R -  12|4|40|10||F|23/02/2019|03:26|22/02/2019|18:04|22/02/2019|18:04||22/02/2019|07:30|2502||F1||
44|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7198|2019022502|23/02/2019|03:26|25/02/2019|09:06|PPA1|12|CD16|01|||||||||||||PPA1-12|722F-P-P1|25/02/2019|09:06|25/02/2019|16:56||2|86140-0KA70-00|RECEIVER ASSY  RADIO & DISPLAY|H704|SA.R -  12|4|4|1||F|23/02/2019|03:26|22/02/2019|18:04|22/02/2019|18:04||22/02/2019|07:30|2502||F1||
45|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7198|2019022502|23/02/2019|03:26|25/02/2019|09:06|PPA1|12|CD16|01|||||||||||||PPA1-12|722F-P-P1|25/02/2019|09:06|25/02/2019|16:56||3|86140-0K200-00|RECEIVER ASSY  RADIO & DISPLAY|H712|SA.R -  13|4|4|1||F|23/02/2019|03:26|22/02/2019|18:04|22/02/2019|18:04||22/02/2019|07:30|2502||F1||
46|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7198|2019022502|23/02/2019|03:26|25/02/2019|09:06|PPA1|12|CD16|01|||||||||||||PPA1-12|722F-P-P1|25/02/2019|09:06|25/02/2019|16:56||4|86140-0K620-00|RECEIVER ASSY  RADIO & DISPLAY|H714|SA.R -  13|4|8|2||F|23/02/2019|03:26|22/02/2019|18:04|22/02/2019|18:04||22/02/2019|07:30|2502||F1||
47|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7198|2019022502|23/02/2019|03:26|25/02/2019|09:06|PPA1|12|CD16|01|||||||||||||PPA1-12|722F-P-P1|25/02/2019|09:06|25/02/2019|16:56||5|86140-0KB70-00|RECEIVER ASSY  RADIO & DISPLAY|U315|SA.R -  13|4|8|2||F|23/02/2019|03:26|22/02/2019|18:04|22/02/2019|18:04||22/02/2019|07:30|2502||F1||
48|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7198|2019022502|23/02/2019|03:26|25/02/2019|09:06|PPA1|12|CD16|01|||||||||||||PPA1-12|722F-P-P1|25/02/2019|09:06|25/02/2019|16:56||6|86100-0K102-00|RECEIVER ASSY  RADIO & NAVIGATION|B035|SA.R -  14|4|4|1||F|23/02/2019|03:26|22/02/2019|18:04|22/02/2019|18:04||22/02/2019|07:30|2502||F1||
49|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7198|2019022502|23/02/2019|03:26|25/02/2019|09:06|PPA1|12|CD16|01|||||||||||||PPA1-12|722F-P-P1|25/02/2019|09:06|25/02/2019|16:56||7|86100-0K214-00|RECEIVER ASSY  RADIO & NAVIGATION|B037|SA.R -  14|4|4|1||F|23/02/2019|03:26|22/02/2019|18:04|22/02/2019|18:04||22/02/2019|07:30|2502||F1||
50|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B7840|2019022502|22/02/2019|15:08|22/02/2019|20:35|PSA|04|PD02|03|||||||||||||PSA-04|722B-S-S1|22/02/2019|20:35|25/02/2019|09:25||1|86120-0KA00-00|RECEIVER ASSY RADIO|A792|IP1  - A07|4|20|5||F|22/02/2019|15:08|22/02/2019|10:58|22/02/2019|10:58||22/02/2019|07:30|2502||||
51|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B7840|2019022502|22/02/2019|15:08|22/02/2019|20:35|PSA|04|PD02|03|||||||||||||PSA-04|722B-S-S1|22/02/2019|20:35|25/02/2019|09:25||2|86120-0KA20-00|RECEIVER ASSY RADIO|A794|IP1  - A07|4|4|1||F|22/02/2019|15:08|22/02/2019|10:58|22/02/2019|10:58||22/02/2019|07:30|2502||||
52|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B7840|2019022502|22/02/2019|15:08|22/02/2019|20:35|PSA|04|PD02|03|||||||||||||PSA-04|722B-S-S1|22/02/2019|20:35|25/02/2019|09:25||3|86140-0K200-00|RECEIVER ASSY RADIO & DISPLAY|A798|IP1  - A07|4|8|2||F|22/02/2019|15:08|22/02/2019|10:58|22/02/2019|10:58||22/02/2019|07:30|2502||||
53|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B7840|2019022502|22/02/2019|15:08|22/02/2019|20:35|PSA|04|PD02|03|||||||||||||PSA-04|722B-S-S1|22/02/2019|20:35|25/02/2019|09:25||4|86140-0K570-00|RECEIVER ASSY RADIO & DISPLAY|A799|IP1  - A07|4|8|2||F|22/02/2019|15:08|22/02/2019|10:58|22/02/2019|10:58||22/02/2019|07:30|2502||||
54|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B7840|2019022502|22/02/2019|15:08|22/02/2019|20:35|PSA|04|PD02|03|||||||||||||PSA-04|722B-S-S1|22/02/2019|20:35|25/02/2019|09:25||5|86100-0K144-00|RECEIVER ASSY RADIO & NAVIGATION|F154|IP1  - A08|4|8|2||F|22/02/2019|15:08|22/02/2019|10:58|22/02/2019|10:58||22/02/2019|07:30|2502||||
55|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7200|2019022503|25/02/2019|15:34|25/02/2019|21:06|PPA1|18|CD16|02|||||||||||||PPA1-18|722F-P-P1|25/02/2019|21:06|25/02/2019|23:16||1|86100-0K144-00|RECEIVER ASSY  RADIO & NAVIGATION|B036|SA.R -  12|4|4|1||F|25/02/2019|15:34|25/02/2019|09:39|25/02/2019|09:39||25/02/2019|07:30|2502||F1||
56|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7200|2019022503|25/02/2019|15:34|25/02/2019|21:06|PPA1|18|CD16|02|||||||||||||PPA1-18|722F-P-P1|25/02/2019|21:06|25/02/2019|23:16||2|86120-0KA00-00|RECEIVER ASSY  RADIO|H550|SA.R -  12|4|48|12||F|25/02/2019|15:34|25/02/2019|09:39|25/02/2019|09:39||25/02/2019|07:30|2502||F1||
57|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7200|2019022503|25/02/2019|15:34|25/02/2019|21:06|PPA1|18|CD16|02|||||||||||||PPA1-18|722F-P-P1|25/02/2019|21:06|25/02/2019|23:16||3|86120-0KA20-00|RECEIVER ASSY  RADIO|H556|SA.R -  12|4|4|1||F|25/02/2019|15:34|25/02/2019|09:39|25/02/2019|09:39||25/02/2019|07:30|2502||F1||
58|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7200|2019022503|25/02/2019|15:34|25/02/2019|21:06|PPA1|18|CD16|02|||||||||||||PPA1-18|722F-P-P1|25/02/2019|21:06|25/02/2019|23:16||4|86140-0K200-00|RECEIVER ASSY  RADIO & DISPLAY|H712|SA.R -  13|4|4|1||F|25/02/2019|15:34|25/02/2019|09:39|25/02/2019|09:39||25/02/2019|07:30|2502||F1||
59|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7200|2019022503|25/02/2019|15:34|25/02/2019|21:06|PPA1|18|CD16|02|||||||||||||PPA1-18|722F-P-P1|25/02/2019|21:06|25/02/2019|23:16||5|86140-0K620-00|RECEIVER ASSY  RADIO & DISPLAY|H714|SA.R -  13|4|4|1||F|25/02/2019|15:34|25/02/2019|09:39|25/02/2019|09:39||25/02/2019|07:30|2502||F1||
